100,pokoj podstawowy,100,
101,pokoj podstawowy,100,
102,pokoj podstawowy,100,
103,pokoj podstawowy,100,
104,pokoj podstawowy,100,
105,pokoj podstawowy,100,
106,pokoj podstawowy,100,
107,pokoj podstawowy,100,
108,pokoj podstawowy,100,
109,pokoj podstawowy,100,
200,pokoj podstawowy,100,
201,pokoj podstawowy,100,
202,pokoj podstawowy,100,
203,pokoj podstawowy,100,
204,pokoj podstawowy,100,
205,pokoj podstawowy,100,
206,pokoj podstawowy,100,
207,pokoj podstawowy,100,
208,pokoj podstawowy,100,
209,pokoj podstawowy,100,
300,pokoj podstawowy,100,
301,pokoj podstawowy,100,
302,pokoj podstawowy,100,
303,pokoj podstawowy,100,
304,pokoj podstawowy,100,
305,pokoj podstawowy,100,
306,pokoj podstawowy,100,
307,pokoj podstawowy,100,
308,pokoj podstawowy,100,
309,pokoj podstawowy,100,
400,pokoj podstawowy,100,
401,pokoj podstawowy,100,
402,pokoj podstawowy,100,
403,pokoj podstawowy,100,
404,pokoj podstawowy,100,
405,pokoj podstawowy,100,
406,pokoj podstawowy,100,Robert Bobert
407,pokoj podstawowy,100,
408,pokoj podstawowy,100,
409,pokoj podstawowy,100,
500,pokoj komfort,300,
501,pokoj komfort,300,
502,pokoj komfort,300,
503,pokoj komfort,300,
504,pokoj komfort,300,
505,pokoj komfort,300,
506,pokoj komfort,300,
507,pokoj komfort,300,
508,pokoj komfort,300,
509,pokoj komfort,300,
600,pokoj komfort,300,
601,pokoj komfort,300,
602,pokoj komfort,300,
603,pokoj komfort,300,
604,pokoj komfort,300,
605,pokoj komfort,300,
606,pokoj komfort,300,
607,pokoj komfort,300,
608,pokoj komfort,300,
609,pokoj komfort,300,
700,pokoj komfort,300,
701,pokoj komfort,300,
702,pokoj komfort,300,
703,pokoj komfort,300,
704,pokoj komfort,300,
705,pokoj komfort,300,
706,pokoj komfort,300,
707,pokoj komfort,300,
708,pokoj komfort,300,
709,pokoj komfort,300,
800,pokoj komfort,300,
801,pokoj komfort,300,
802,pokoj komfort,300,
803,pokoj komfort,300,
804,pokoj komfort,300,
805,pokoj komfort,300,
806,pokoj komfort,300,
807,pokoj komfort,300,
808,pokoj komfort,300,
809,pokoj komfort,300,
900,pokoj komfort,300,
901,pokoj komfort,300,
902,pokoj komfort,300,
903,pokoj komfort,300,
904,pokoj komfort,300,
905,pokoj komfort,300,
906,pokoj komfort,300,
907,pokoj komfort,300,
908,pokoj komfort,300,
909,pokoj komfort,300,
1000,pokoj extra komfort,500,
1001,pokoj extra komfort,500,
1002,pokoj extra komfort,500,
1003,pokoj extra komfort,500,
1004,pokoj extra komfort,500,
1005,pokoj extra komfort,500,
1006,pokoj extra komfort,500,
1007,pokoj extra komfort,500,
1008,pokoj extra komfort,500,
1009,pokoj extra komfort,500,
